qno,category,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10
1,E,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4,N,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,E,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
7,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
9,N,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
10,O,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
11,E,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
12,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14,N,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
15,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
16,E,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
17,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
18,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
19,N,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20,O,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
21,E,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
22,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
23,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
24,N,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
25,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
26,E,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
27,A,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
28,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
29,N,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
30,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
31,E,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
32,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
33,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
34,N,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
35,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
36,E,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
37,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
38,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
39,N,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
40,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41,O,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
42,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
43,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
44,O,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
